evaluation_context,model_name,window_label,prediction_artifact,aoi_alert_overlap_index,true_positive_windows,false_positive_windows,false_negative_windows,true_negative_windows,attack_window_count,predicted_alert_window_count,evaluated_window_count,alert_coverage,alert_precision,notes
heldout_synthetic_zero_day_like_prediction_artifact,autoencoder,10s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/claude__existing_heldout_phase2_bundle__claude_phase2_llm_benchmark_v2/10s/autoencoder/predictions.parquet,0.04831248929244475,846,15960,705,25684,1551,16806,43195,0.5454545454545454,0.05033916458407712,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,gru,10s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/claude__existing_heldout_phase2_bundle__claude_phase2_llm_benchmark_v2/10s/gru/predictions.parquet,0.03606038017144987,1548,41377,3,264,1551,42925,43192,0.9980657640232108,0.03606290040768783,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,isolation_forest,10s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/claude__existing_heldout_phase2_bundle__claude_phase2_llm_benchmark_v2/10s/isolation_forest/predictions.parquet,0.0359069336728788,1551,41644,0,0,1551,43195,43195,1.0,0.0359069336728788,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,lstm,10s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/claude__existing_heldout_phase2_bundle__claude_phase2_llm_benchmark_v2/10s/lstm/predictions.parquet,0.035916911747678484,1551,41632,0,5,1551,43183,43188,1.0,0.035916911747678484,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,threshold_baseline,10s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/claude__existing_heldout_phase2_bundle__claude_phase2_llm_benchmark_v2/10s/threshold_baseline/predictions.parquet,0.06497622820919176,369,4128,1182,37516,1551,4497,43195,0.2379110251450677,0.08205470313542361,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,transformer,10s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/claude__existing_heldout_phase2_bundle__claude_phase2_llm_benchmark_v2/10s/transformer/predictions.parquet,0.036890802273862475,1551,40492,0,1149,1551,42043,43192,1.0,0.036890802273862475,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,autoencoder,300s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/claude__existing_heldout_phase2_bundle__claude_phase2_llm_benchmark_v2/300s/autoencoder/predictions.parquet,0.05908683974932856,66,1045,6,318,72,1111,1435,0.9166666666666666,0.0594059405940594,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,gru,300s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/claude__existing_heldout_phase2_bundle__claude_phase2_llm_benchmark_v2/300s/gru/predictions.parquet,0.5342465753424658,39,1,33,1359,72,40,1432,0.5416666666666666,0.975,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,isolation_forest,300s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/claude__existing_heldout_phase2_bundle__claude_phase2_llm_benchmark_v2/300s/isolation_forest/predictions.parquet,0.03081232492997199,44,1356,28,7,72,1400,1435,0.6111111111111112,0.03142857142857143,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,lstm,300s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/claude__existing_heldout_phase2_bundle__claude_phase2_llm_benchmark_v2/300s/lstm/predictions.parquet,0.6027397260273972,44,1,28,1359,72,45,1432,0.6111111111111112,0.9777777777777777,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
