artifact_path,artifact_type,phase,exists,nonempty,last_modified,referenced_by_reports,needs_verification,notes
outputs/window_size_study/60s/models/llm_baseline/model.pt,checkpoint,phase1,True,True,2026-04-19 15:08:55.119660616,deployment_runtime/docs/deployment_contract.md;reports/generated_report.md,False,
outputs/window_size_study/60s/models/llm_baseline/predictions.parquet,parquet,phase1,True,True,2026-04-19 15:08:55.135302305,deployment_runtime/docs/deployment_contract.md;outputs/window_size_study/professor_graph_package/PROFESSOR_GRAPH_PACKAGE_SUMMARY.md;reports/generated_report.md,True,
outputs/window_size_study/60s/models/llm_baseline/results.json,json,phase1,True,True,2026-04-19 15:08:55.135302305,deployment_runtime/docs/deployment_contract.md;reports/generated_report.md,True,
outputs/window_size_study/60s/models/lstm/metadata.pkl,checkpoint,phase1,True,True,2026-04-19 14:55:25.752316475,deployment_runtime/docs/deployment_contract.md;reports/generated_report.md,False,
outputs/window_size_study/60s/models/lstm/model.pt,checkpoint,phase1,True,True,2026-04-19 14:55:25.752316475,deployment_runtime/docs/deployment_contract.md;reports/generated_report.md,False,
outputs/window_size_study/60s/models/lstm/predictions.parquet,parquet,phase1,True,True,2026-04-19 14:55:25.772421122,deployment_runtime/docs/deployment_contract.md;outputs/window_size_study/professor_graph_package/PROFESSOR_GRAPH_PACKAGE_SUMMARY.md;reports/generated_report.md,True,
outputs/window_size_study/60s/models/lstm/results.json,json,phase1,True,True,2026-04-19 14:55:25.762378454,deployment_runtime/docs/deployment_contract.md;reports/generated_report.md,True,
outputs/window_size_study/60s/models/threshold_baseline/model.pkl,checkpoint,phase1,True,True,2026-04-19 14:42:11.485376596,deployment_runtime/docs/deployment_contract.md;reports/generated_report.md,False,
outputs/window_size_study/60s/models/threshold_baseline/predictions.parquet,parquet,phase1,True,True,2026-04-19 14:42:10.326847553,deployment_runtime/docs/deployment_contract.md;outputs/window_size_study/professor_graph_package/PROFESSOR_GRAPH_PACKAGE_SUMMARY.md;reports/generated_report.md,True,
outputs/window_size_study/60s/models/threshold_baseline/results.json,json,phase1,True,True,2026-04-19 14:42:11.485376596,deployment_runtime/docs/deployment_contract.md;reports/generated_report.md,True,
outputs/window_size_study/60s/models/transformer/metadata.pkl,checkpoint,phase1,True,True,2026-04-19 15:02:49.855626106,deployment_runtime/docs/deployment_contract.md;reports/generated_report.md,False,
outputs/window_size_study/60s/models/transformer/model.pt,checkpoint,phase1,True,True,2026-04-19 15:02:49.855626106,deployment_runtime/docs/deployment_contract.md;reports/generated_report.md,False,
outputs/window_size_study/60s/models/transformer/predictions.parquet,parquet,phase1,True,True,2026-04-19 15:02:49.875798225,deployment_runtime/docs/deployment_contract.md;outputs/window_size_study/professor_graph_package/PROFESSOR_GRAPH_PACKAGE_SUMMARY.md;reports/generated_report.md,True,
